PREC event_type event_no event 10mins h d dt PET TA TA_min TA_max
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.5 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.8 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
1.0 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
1.5 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.7000000000000001 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
1.0 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.30000000000000004 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 30 1 True False True False 3600 0.0013344757083333292 2.4826388888888893 -0.5 4.9
0.0 0 0 False False False True 86400 0.527133245 -3.1868055555555554 -10.2 2.4
0.0 0 0 False False False True 86400 0.361301961 -7.232638888888889 -12.8 3.2
0.0 0 0 False False False True 86400 0.2454459809999999 -8.563194444444443 -13.4 0.3
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
