;[mm/day];[-];[-];[cm];[degC];[K];[g/l]
tAtm;Prec;rSoil;rRoot;hCritA;tTop;Ampl;cTop
1;18.428946699130606;0.05;0.03;100000;4.395833333333333;0;0.0
2;12.511653810111321;0.08849500643848893;0.05210881042830795;100000;3.7375000000000003;0;0.0
3;3.1102567967198382;0.2555197544460327;0.15045855106379347;100000;1.1083333333333334;0;0.0
4;0.0;0.4147643257665943;0.24422706425609556;100000;0.4583333333333333;0;0.0
5;0.0;0.43620338441259704;0.25685109681687573;100000;4.75;0;0.0
6;13.632634177402316;0.17475431844561545;0.10290116943197576;100000;5.3875;0;0.0
7;0.0;0.46004377859659845;0.27088911580875813;100000;3.733333333333333;0;0.0
8;0.0;0.5821609868343465;0.34279579970191176;100000;7.487500000000001;0;0.0
9;0.0;0.14394288349300818;0.0847583692041964;100000;6.658333333333334;0;0.0
10;0.0;0.5554278707738202;0.3270544496187951;100000;5.145833333333333;0;0.0
11;0.0;0.5137469221075346;0.3025113173005531;100000;3.591666666666667;0;0.0
12;1.9847792879272246;0.5801525383275831;0.3416131582546037;100000;4.608333333333333;0;0.0
13;1.7651978765781788;0.24268176359133356;0.1428991139989139;100000;2.3916666666666666;0;0.0
14;0.0;0.456543876630604;0.26882825683599304;100000;-2.1750000000000003;0;0.0
15;0.0;0.45362462285499194;0.26710930287793866;100000;-4.783333333333333;0;0.0
16;0.0;0.48600525477121653;0.2861760985987139;100000;-4.054166666666666;0;0.0
17;0.0;0.5526177621285364;0.3253997639526403;100000;-0.3500000000000001;0;0.0
18;9.54119233946526;0.14307502591253307;0.08424734572434411;100000;3.033333333333333;0;0.0
19;0.0;0.23258583821352527;0.1369542965139157;100000;-0.35833333333333334;0;0.0
20;15.030061005501572;0.11705111412441736;0.06892359876340672;100000;3.358333333333333;0;0.0
21;23.60248161785271;0.06509095266044597;0.03832772321609723;100000;3.6166666666666667;0;0.0
22;0.0;0.29890449328285545;0.1760049318429285;100000;-0.8791666666666668;0;0.0
