;[mm/day];[-];[-];[cm];[degC];[K];[g/l]
tAtm;Prec;rSoil;rRoot;hCritA;tTop;Ampl;cTop
1;6.043388017110187;0.05;0.03;100000;1.5083333333333335;0;0.0
2;0.2507834868226482;0.20617413322813422;0.12140220398846045;100000;0.7791666666666667;0;0.0
3;0.0;0.3994152357104518;0.23518900825529176;100000;-2.545833333333333;0;0.0
4;2.0999999999999988;0.5083440906253635;0.29932994998039547;100000;2.379166666666667;0;0.0
5;3.5438199372972634;0.26706819786101604;0.15725865959954108;100000;3.5124999999999997;0;0.0
6;0.0;0.44024690220313945;0.2592320549125997;100000;-0.05416666666666664;0;0.0
7;0.0;0.4612441232962007;0.27159591879027634;100000;1.0291666666666666;0;0.0
8;0.0;0.46354766408901;0.272952320414698;100000;1.0541666666666667;0;0.0
9;1.3430868661289856;0.19610719553519343;0.11547445541883171;100000;2.1416666666666666;0;0.0
10;2.1697822785160397;0.10498200273185683;0.0618169035621333;100000;1.6500000000000001;0;0.0
11;0.0;0.08944289962195237;0.05266696153978015;100000;0.1875;0;0.0
12;0.0;0.11111809919825891;0.06543004175383232;100000;-1.2958333333333334;0;0.0
13;0.0;0.47794484494063344;0.28142986053692826;100000;-3.4625;0;0.0
14;0.0;0.4870180619000745;0.2867724732056222;100000;-4.0625;0;0.0
15;0.0;0.09591964084748984;0.056480682723577404;100000;-4.491666666666666;0;0.0
16;0.0;0.06685539644255484;0.039366686545821664;100000;-3.983333333333333;0;0.0
17;0.0;0.1580194277042772;0.09304710778178567;100000;-1.2791666666666666;0;0.0
18;0.5015669736452965;0.1814265396036658;0.10682999571780985;100000;2.0124999999999997;0;0.0
19;0.0;0.23828232728618773;0.14030857921460824;100000;-1.875;0;0.0
20;0.0;0.4579775344300058;0.2696724423498956;100000;-3.9791666666666665;0;0.0
21;0.0;0.10447905607786838;0.06152075180280829;100000;-0.8583333333333334;0;0.0
22;8.053550522694321;0.09223819435024498;0.05431292427767874;100000;0.13333333333333333;0;0.0
23;0.0;0.12539468440377782;0.073836571138686;100000;-0.7000000000000001;0;0.0
24;0.0;0.19027707849353953;0.1120414881145177;100000;-8.3375;0;0.0
25;0.0;0.34873311513217714;0.2053456857944515;100000;-11.195833333333333;0;0.0
26;0.0;0.32936351785241325;0.19394022108695474;100000;-14.520833333333334;0;0.0
27;0.0;0.5823459279890879;0.3429046992202085;100000;-7.2749999999999995;0;0.0
28;9.439959129632838;0.5143965529316904;0.30289384159007726;100000;1.6125;0;0.0
29;10.289895807564445;0.19380948495187617;0.1141214868161522;100000;3.766666666666667;0;0.0
30;15.956908721773448;0.12360789997249712;0.07278445288983797;100000;6.2375;0;0.0
31;0.0;0.457122199619883;0.26916879269476623;100000;5.608333333333333;0;0.0
32;0.0;0.84379386329086;0.496853960831734;100000;7.570833333333333;0;0.0
33;12.431460093599668;0.1456704283968006;0.08577560524407035;100000;6.891666666666667;0;0.0
34;0.0999999999999996;0.17823862381574096;0.10495284460906507;100000;2.5875;0;0.0
35;0.0;0.7236466161401968;0.4261072557099181;100000;1.3;0;0.0
36;0.0;0.5415041900808553;0.3188557221776223;100000;6.2;0;0.0
37;0.0;0.6628739054885092;0.3903222573691996;100000;7.654166666666666;0;0.0
38;0.9999999999999996;0.11285203880332013;0.06645104320702815;100000;5.833333333333333;0;0.0
39;27.65485818392038;0.28026537247499683;0.16502959603794;100000;7.341666666666666;0;0.0
40;4.113696220178276;0.22889801811597174;0.13478278507964406;100000;2.654166666666667;0;0.0
41;0.0;0.8415656216115089;0.49554189783597086;100000;2.7458333333333336;0;0.0
42;10.180966756435527;0.09311546468440932;0.05482949030074719;100000;2.1125000000000003;0;0.0
43;0.0;0.17526840018253514;0.10320387789940126;100000;0.725;0;0.0
44;6.696671871806245;0.22706159536446294;0.1337014381327842;100000;2.595833333333333;0;0.0
45;0.0999999999999996;0.3324980512407168;0.1957859388589043;100000;4.0;0;0.0
46;7.599999999999996;0.18000421559259464;0.10599248391637216;100000;4.9624999999999995;0;0.0
47;7.197067301627898;0.17138285054877125;0.10091593672142848;100000;2.216666666666667;0;0.0
48;0.0;0.24970119644879984;0.147032390110241;100000;-1.55;0;0.0
49;16.263199278929815;0.281195239392859;0.16557713268318694;100000;1.0;0;0.0
50;8.697513768254582;0.2503779801124;0.14743090289697128;100000;2.725;0;0.0
51;0.0;0.19963942468526275;0.11755434971544654;100000;-0.5875;0;0.0
52;0.0;0.7956072073520893;0.468480051155454;100000;-6.295833333333333;0;0.0
53;0.0;0.8234258780802006;0.48486061202186015;100000;-4.779166666666667;0;0.0
54;0.0;0.7030487620808146;0.41397855245753346;100000;-2.191666666666667;0;0.0
55;6.391480354399567;0.4624103476127267;0.2722826305525833;100000;1.0541666666666667;0;0.0
56;9.187158904051962;0.4331347701682816;0.25504419443480986;100000;5.958333333333333;0;0.0
57;0.3999999999999996;0.5141098400416915;0.30272501548074543;100000;3.8666666666666667;0;0.0
58;0.0;1.2424901539268522;0.7316196302558181;100000;5.283333333333333;0;0.0
59;0.0;1.3481673165968318;0.7938458671678299;100000;9.141666666666667;0;0.0
60;10.999999999999998;0.3170869305057476;0.18671135712615464;100000;6.033333333333334;0;0.0
61;20.623845317726083;0.20612274958110025;0.17543486598327981;100000;3.5666666666666664;0;0.0
62;1.9262856234468022;0.4261954765678827;0.3627428144943702;100000;0.06249999999999999;0;0.0
63;0.0;0.8283577105140087;0.7050304938468883;100000;3.420833333333333;0;0.0
64;15.868423238499336;0.5088300499236004;0.43307462081709686;100000;2.154166666666667;0;0.0
