;[mm/day];[-];[-];[cm];[degC];[K];[per mil]
tAtm;Prec;rSoil;rRoot;hCritA;tTop;Ampl;cTop
1.0;0.0;0.05;0.03;100000.0;-10.700000000000001;0.0;
2.0;0.0;0.04706955183426978;0.027716121532600002;100000.0;-8.7875;0.0;
3.0;0.0;0.18988286887857447;0.11180936434932526;100000.0;-7.129166666666666;0.0;
4.0;0.0;0.1278573691528897;0.07528668203082264;100000.0;-4.358333333333333;0.0;
5.0;0.0;0.07137178452195934;0.042026086434265565;100000.0;-3.2875;0.0;
6.0;0.0;0.10053800867326737;0.059200131686936865;100000.0;-2.5708333333333333;0.0;
7.0;0.0;0.07313966367829487;0.04306707262687833;100000.0;-3.4875000000000003;0.0;
8.0;0.0;0.13345404934766358;0.07858219393634523;100000.0;-4.3500000000000005;0.0;
9.0;0.0;0.16536020041639043;0.09736959951377605;100000.0;-4.0125;0.0;
10.0;0.0;0.12887433602157933;0.07588550603123957;100000.0;-1.0458333333333334;0.0;-15.499999999999847
11.0;0.0;0.17059077540202228;0.10044953646532358;100000.0;-2.829166666666667;0.0;-15.499999999999847
12.0;0.0;0.1967178143214947;0.11583400811971155;100000.0;-5.8625;0.0;-15.499999999999847
13.0;0.0;0.2316484761085998;0.13640234645261828;100000.0;-9.883333333333333;0.0;-15.499999999999847
14.0;0.0;0.4430341318017152;0.2608732686332101;100000.0;-8.979166666666666;0.0;-15.499999999999847
15.0;0.0;0.49964667374241595;0.29420862092682337;100000.0;-2.954166666666667;0.0;-15.499999999999847
16.0;0.0;0.5082358094382834;0.2992661904070863;100000.0;-2.2083333333333335;0.0;-15.499999999999847
17.0;0.0;0.5238171833087318;0.308441022862657;100000.0;-1.4166666666666667;0.0;-15.499999999999847
18.0;0.0;0.47370060874327197;0.27893071275083264;100000.0;-0.5750000000000001;0.0;-15.499999999999847
19.0;4.686052834215463;0.19888027853926327;0.11710733915291538;100000.0;1.0833333333333333;0.0;-15.499999999999847
20.0;3.313907630793371;0.1950221303202689;0.11483553284158829;100000.0;1.5416666666666667;0.0;-12.530000000000264
21.0;1.951035471539888;0.12533135936866188;0.07379928324660005;100000.0;0.5333333333333333;0.0;-12.530000000000264
22.0;0.0;0.2599623325160764;0.15307448915772168;100000.0;0.7541666666666668;0.0;
23.0;0.0;0.2987014599293768;0.17588537903477774;100000.0;3.5583333333333336;0.0;
24.0;0.0;0.33904394460702764;0.19964037912888838;100000.0;3.1458333333333335;0.0;
25.0;0.0;0.4579505737729472;0.26965656701608615;100000.0;0.9666666666666667;0.0;
26.0;0.0;0.10437045276869131;0.06145680255326811;100000.0;0.19166666666666665;0.0;
27.0;0.0;0.14107493354310244;0.08306962464931136;100000.0;0.525;0.0;
28.0;0.0;0.1074654161989577;0.0632792202145674;100000.0;0.23750000000000002;0.0;
29.0;0.0;0.09699225273452575;0.057112272366135974;100000.0;-1.4291666666666665;0.0;
30.0;0.0;0.17488677751265785;0.10297916574715565;100000.0;-2.1166666666666667;0.0;
