;[mm/day];[-];[-];[cm];[degC];[K];[g/l]
tAtm;Prec;rSoil;rRoot;hCritA;tTop;Ampl;cTop
1;0.0;0.05;0.03;100000;-2.716666666666667;0;0.0
2;0.0;0.041421342322628604;0.024390267447194035;100000;-3.5708333333333333;0;0.0
3;0.0;0.02871302285111414;0.01690718521629082;100000;-6.3125;0;0.0
4;0.0;0.0472971635538638;0.02785014690222162;100000;-5.433333333333334;0;0.0
5;0.0;0.0485935750662836;0.028613517226226456;100000;-1.1958333333333333;0;0.0
6;0.0;0.2426665867218986;0.14289017735215706;100000;-0.4875;0;0.0
7;28.349050706361222;0.17334388560100047;0.10207065954582771;100000;0.43333333333333335;0;0.0
8;0.0;0.2893842773275135;0.1703991112614216;100000;-1.9625000000000001;0;0.0
9;35.43387656956061;0.1209409448383563;0.07121406078412809;100000;3.845833333333333;0;0.0
10;10.920972966132956;0.3288840460892061;0.19365789212603132;100000;3.358333333333333;0;0.0
11;8.49497479479761;0.1859999849391437;0.10952299282105651;100000;6.55;0;0.0
12;30.549423375472532;0.0873505637208461;0.05143492439767458;100000;6.308333333333334;0;0.0
13;49.61926958913794;0.04542460400612041;0.02674752140485074;100000;8.508333333333333;0;0.0
14;7.794339816533345;0.3244374749929257;0.1910396028051178;100000;4.1625000000000005;0;0.0
15;7.76563407051263;0.14916824728517386;0.08783523763127728;100000;0.029166666666666657;0;0.0
16;9.17299345928909;0.16092046816282676;0.09475533713147767;100000;1.1958333333333333;0;0.0
17;27.604653462768486;0.15959918098583126;0.09397731918675589;100000;2.0208333333333335;0;0.0
18;13.923882277223454;0.045774826944718496;0.02695374434837623;100000;0.10416666666666667;0;0.0
19;0.0;0.12544324266745197;0.07386516386338716;100000;-1.8791666666666667;0;0.0
20;30.737680239298356;0.10357969165256989;0.06099117604220967;100000;0.9083333333333333;0;0.0
21;0.0;0.11422584163029452;0.06725998411745614;100000;-1.7249999999999999;0;0.0
22;0.0;0.18069371424140915;0.10639848371034498;100000;-5.016666666666667;0;0.0
