;[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season];[year_season]
No;2009_summer;2009_winter;2010_summer;2010_winter;2011_summer;2011_winter;2012_summer;2012_winter;2013_summer;2013_winter;2014_summer;2014_winter;2015_summer;2015_winter;2016_summer;2016_winter;2017_summer;2017_winter;2018_summer;2018_winter
1;599;556;599;564;563;557;599;559;599;560;599;564;539;556;599;564;563;557;599;559
