YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2040	1	1	0	0	7.90995532014282	3.02354162014282	10.33039632014282
2040	1	2	0	0	5.13555329260794	2.3027282926079398	8.19832769260794
2040	1	3	0	0	5.54244221763974	1.1060714176397408	8.951622217639741
2040	1	4	0	0	4.022682508906819	0.2936481049068205	7.678657708906821
2040	1	5	0	0	0.26717797284975	-1.6774936571502501	4.57827414284975
2040	1	6	0	0	-0.219736173045015	-2.179147773045015	3.8646754269549852
2040	1	7	0	0	-1.0067108424978	-2.9864166424978	3.0416900575022
2040	1	8	0	0	-1.17933891283393	-2.8235345128339295	2.6709418871660704
2040	1	9	0	0	-1.00519070191122	-2.43371840191122	2.54653659808878
2040	1	10	0	0	-0.6186205937197851	-2.141844493719785	1.9947827062802148
2040	1	11	0	0	-1.82455311183763	-3.6914659118376303	0.69271987416237
2040	1	12	0	0	-0.769201961325314	-2.8436343613253143	0.7416927926746859
2040	1	13	0	0	-1.94352374136917	-3.6568415413691695	-0.4202693413691698
2040	1	14	0	0	-3.48684460576077	-6.61764290576077	-0.5412268057607703
2040	1	15	0	0	-3.0337340235322303	-6.88834832353223	0.3461487364677698
2040	1	16	0	0	-1.06412246657161	-3.2522633665716096	1.16561388342839
2040	1	17	0	0	-0.185225946802545	-1.666701746802545	2.013229853197455
2040	1	18	0	0	0.0343042453871814	-2.0533117246128185	1.2824426753871814
2040	1	19	0	0	-2.4446121139127497	-4.083192513912749	-1.1757827139127492
2040	1	20	0	0	-3.56452863287234	-6.238967232872341	-1.32536243287234
2040	1	21	0	0	-3.4409708503008902	-8.602103850300889	0.9140097596991101
2040	1	22	0	0	0.943164324880946	-2.335705325119054	3.5517458748809463
2040	1	23	0	0	0.502168425466721	-3.223142844533279	4.505311755466721
2040	1	24	0	0	-0.188344918390672	-3.165090568390672	1.3583469316093282
2040	1	25	0	0	0.738003273864705	-3.146304626135295	4.656734773864705
2040	1	26	0	0	5.14247228104785	2.242234381047849	7.150101881047849
2040	1	27	0	0	1.4386374732768998	-1.1564553267231001	3.2830588732768997
2040	1	28	0	0	-0.2852486129424519	-3.8988959829424514	1.974364417057548
2040	1	29	0	0	1.91717163137429	-3.1243323686257103	6.10473263137429
2040	1	30	0	0	1.2978147387247	-0.6217409312753	3.2628720687247
2040	1	31	0	0	-0.500783754010921	-3.0287990540109213	2.051462305989079
2040	2	1	0	0	-1.06345630328999	-3.3595989032899896	1.86885569671001
2040	2	2	0	0	-0.1231209947091499	-2.38987509470915	2.47038490529085
2040	2	3	0	0	-2.11232629148795	-6.84371029148795	0.6395048785120497
2040	2	4	0	0	-2.7258914619670898	-7.444702461967088	2.559722438032912
2040	2	5	0	0	0.692079950876809	-2.678250869123191	2.228121230876809
2040	2	6	0	0	-0.2157535372486569	-4.174036037248657	2.209691962751343
2040	2	7	0	0	-0.440767309753241	-4.9405844097532405	2.528165790246759
2040	2	8	0	0	1.44023861442796	-1.70276668557204	2.24581111442796
2040	2	9	0	0	1.06935566890473	-1.1128952710952698	2.6360060289047302
2040	2	10	0	0	1.3224010293608202	-1.62056163063918	3.82682616936082
2040	2	11	0	0	1.7514545531481	-1.4845378968518999	4.9345600031481
2040	2	12	0	0	3.7352747428196	0.4771265228195997	6.2204125428196
2040	2	13	0	0	4.0714402221341	0.8230270321341	8.041685522134099
2040	2	14	0	0	1.49215138098929	-0.1944026190107102	3.5351810809892896
2040	2	15	0	0	3.46928432797414	-0.1390531120258598	7.45628382797414
2040	2	16	0	0	4.4498876684707005	1.8624242684707002	7.188321468470701
2040	2	17	0	0	2.2720334357139103	0.2767331357139103	5.28555273571391
2040	2	18	0	0	3.33431764257636	0.19369265957636012	7.0212684425763605
2040	2	19	0	0	2.66375191404672	0.90484075404672	4.60976631404672
2040	2	20	0	0	2.18310356562378	-0.6121235343762204	5.07391166562378
2040	2	21	0	0	2.9831939993680603	-1.2868866006319393	8.07276309936806
2040	2	22	0	0	2.28141109721019	-0.34630490278980997	4.29575449721019
2040	2	23	0	0	2.27051422410985	-0.43956877589014987	6.701758124109849
2040	2	24	0	0	2.47544742293315	0.4733111889331499	5.0697465229331495
2040	2	25	0	0	1.67512091124467	-0.1804088887553298	4.48850601124467
2040	2	26	0	0	2.3257062397732597	0.02669503977325982	4.85555243977326
2040	2	27	0	0	2.77038555594178	0.10504125594177971	6.04425025594178
2040	2	28	0	0	3.45904397889747	0.9054856688974698	7.92056137889747
2040	2	29	0	0	6.733043839483219	2.7385370394832194	12.325054539483219
