Date,pr,tas,td,rsds
1971-01-01,0.0,-12.5098469261368,-12.6452739911712,28.358023643465
1971-01-02,0.0,-11.753280629435801,-11.741969379337302,37.2137723390375
1971-01-03,0.0,-3.4477398497630203,-3.86631228712819,7.992233009708741
1971-01-04,0.0,1.64704185941873,1.0947153956700602,25.3301741280026
1971-01-05,3.6410074313410004,1.3578930144908798,-0.9952286245545631,34.649704903994795
1971-01-06,0.0,-0.710450706975252,-2.07070074585174,18.6134215930056
1971-01-07,0.469952256945123,-3.1854806121183503,-3.9501369699695403,16.6205930113017
1971-01-08,1.86517040835567,0.844610665561942,-0.587832163486896,24.861454994946605
1971-01-09,14.3449647416051,1.92652785447761,0.356813596988241,23.8838627673816
1971-01-10,17.382373854419903,0.601232941698246,0.644829872026939,24.8595920780372
1971-01-11,0.0,0.0476807274271005,-2.49333539728434,25.9040995994462
1971-01-12,3.77732557987549,1.11166757247729,-1.1551894827781,26.1644279339413
1971-01-13,1.9369381107802701,1.427284538546,-0.40851785151902203,32.0886426592798
1971-01-14,6.7655493058394,2.66272592408727,1.0712372651409399,21.964649605415698
1971-01-15,1.2560736581573702,0.428275223403197,-2.5037999969685,35.1967734050354
1971-01-16,8.93126201895473,1.45155437110326,-1.35706660318251,36.4194620762109
1971-01-17,3.2519279226606,0.0742664704353795,-2.16909555550399,36.8579932500726
1971-01-18,0.625128027118341,-0.972656994377078,-3.07699743087058,42.0813972009738
1971-01-19,0.944863539564002,2.19043255137824,-0.0354199132439122,39.1114438796538
1971-01-20,2.49848655819275,1.29760169198707,-1.3361329898126102,35.04471167284839
1971-01-21,0.0,0.8176779857539169,-2.5983785551556604,49.0400754481161
1971-01-22,0.639482006530694,-1.07797491153349,-2.4138631428264103,48.117305032871
1971-01-23,0.0,-0.971158465779346,-3.31617359025215,30.539709281214105
1971-01-24,0.0,-1.48860650413994,-4.781518527137701,51.722313102258795
1971-01-25,5.50459483412964,1.41116703206937,-0.609889527507425,50.5661071332308
1971-01-26,0.0,-0.871285579541481,-4.28778790354305,50.9353323104487
1971-01-27,0.0,-2.76943029516761,-5.63827371136049,56.65029607486301
1971-01-28,0.0,-4.1385380516985695,-8.206221921623191,58.371888308166
1971-01-29,0.0,-3.07599292506897,-5.52140302998979,54.914620858369595
1971-01-30,36.627494340630896,-3.5990396729049396,-3.6211562164395397,29.3087003400514
1971-01-31,20.56777310731,-3.5368016457978397,-1.2809009971336698,39.116760306029704
1971-02-01,0.195431300382515,-1.9502420993826597,-2.5598208655259103,27.777857933804697
1971-02-02,0.0,-4.88533188444873,-5.673049476508029,71.80055588501351
1971-02-03,0.0,-6.049883614054071,-7.00823093274488,62.992061463122205
1971-02-04,0.0,-5.12288682392428,-6.019758891465889,58.7902698007868
1971-02-05,0.0,-4.04178058028069,-5.2003092605187105,66.9513401359045
1971-02-06,0.0,-4.5931990866435495,-5.79876513761649,72.48733422372709
1971-02-07,2.8168283487745804,1.76380038681557,-0.587843996862214,50.2683695445182
1971-02-08,1.30319327639573,-0.481112869803784,-3.0549155866900897,39.2360716022014
1971-02-09,2.39984116599938,-2.2646734153044,-3.91807938871839,53.5001655362727
1971-02-10,0.0,-1.4538476970858798,-4.876991194849389,77.068094879273
1971-02-11,4.28551587534555,-0.4109757525602771,-2.4295364395204704,35.3193258343626
1971-02-12,0.46477821614453496,-0.476696508065764,-2.54433216523885,62.18242977424
1971-02-13,0.4873466279048351,1.2453725398246398,-1.3105311396081298,79.3957451981839
1971-02-14,0.0,0.9337262335279549,-2.16626821898386,93.82059470711359
1971-02-15,0.0,-1.83710041990484,-3.14932226264196,72.2751572382588
1971-02-16,0.0,-0.6178043964631651,-1.6674511152991203,44.5444529281515
1971-02-17,5.8241764306549095,-2.05743695145274,-3.5490594080483597,43.64733145598429
1971-02-18,0.0,-5.829936113034821,-8.458741600720481,92.3279452820541
1971-02-19,1.92267536579721,-6.401168545846139,-8.98254098271217,116.01003205805901
1971-02-20,0.338516560632028,-6.22921508175941,-9.4606784497891,113.48457351088601
1971-02-21,0.0,-11.552340797627098,-14.1544150023629,127.16551281093399
1971-02-22,0.195431300382515,-6.286475164098929,-8.46287870648313,84.8695394205718
1971-02-23,2.20876159315909,-3.14168631491844,-5.22680194416389,81.4560317349827
1971-02-24,0.0,-4.22386311576515,-7.01624186571053,98.6350480879802
1971-02-25,0.0,-7.876027687173059,-10.3126912630141,130.934873632744
1971-02-26,0.0,-7.298422645106309,-10.070843867129401,129.426116524242
1971-02-27,0.18094271564087197,-12.4984397996734,-14.7062345894379,145.265821402689
1971-02-28,0.0,-11.6408383294061,-14.080378066287,139.096947909155
1971-03-01,0.0,-8.23426326548078,-11.3642896840611,135.363878828114
1971-03-02,0.0,-9.273265010536631,-13.3707092169886,153.838156370313
1971-03-03,0.0,-13.5334695830285,-17.1424551506054,189.347353690154
1971-03-04,0.0,-12.3790972917585,-17.7014907071625,201.81863979744
1971-03-05,0.19585248852989104,-4.3727307942949105,-9.27148960763921,144.607431531641
1971-03-06,18.8598270531258,-0.687142339603653,-1.18001467687613,84.2617284054597
1971-03-07,8.80802235452956,1.0438635111288799,1.04985750288228,151.985618498823
1971-03-08,1.85036514429084,0.629979918214749,-0.0665438184873562,65.63339248789251
1971-03-09,0.652995584547392,2.04059301398881,0.367248707620859,101.836905770015
1971-03-10,0.0,4.094218238630259,1.8150973238845602,144.32418346544
1971-03-11,1.62856011872013,4.0576113754109,2.31977317190114,86.55307099053779
1971-03-12,0.0,3.82010950842278,2.27811011777488,128.47778294695
