Date,pr,tas,td,rsds
1971-01-01,0.0,1.23243702505381,0.167729158809164,21.4092455746461
1971-01-02,1.8605734245430499,2.4379547011016203,0.31954772944128806,16.807556604904597
1971-01-03,1.0581272244538,4.19137790693805,2.3312483625127003,19.399252961808397
1971-01-04,15.7649706956638,6.12077849217263,3.50890922198116,20.3479471829518
1971-01-05,0.267024950352863,-0.12377659621832801,-1.61174309828715,19.5091146925463
1971-01-06,0.0,-0.35313116787557797,-2.11172032256322,38.1725502506335
1971-01-07,2.13886582798753,3.59199133009696,1.27597524870174,22.470969481909197
1971-01-08,2.25299947302186,2.36777757258688,-0.578438595496469,19.4095871063812
1971-01-09,2.7899673266787897,-0.635787006547385,-2.86556966737502,30.5995740074793
1971-01-10,0.0,-1.2149110745273102,-2.5549955004777996,32.0221905610949
1971-01-11,0.0,-2.83404040562317,-4.799350799031769,32.630577018025896
1971-01-12,0.0,-3.4703151097051697,-5.048014971271559,47.7325883421264
1971-01-13,0.0,-2.9664004398774804,-4.41000473031408,20.2628136978228
1971-01-14,0.0,-3.4303261342109503,-5.6975141784786905,25.7070980806975
1971-01-15,1.56211541647355,-2.0680509180723403,-3.5186323021353,37.005497474103706
1971-01-16,1.14775937690465,-2.0790433341035404,-2.9039085726211,32.4480761580213
1971-01-17,0.243077808427086,-7.75053748416576,-9.98809369813117,29.8435837599206
1971-01-18,0.0,-8.09139994972338,-10.1949961707998,42.052689225341794
1971-01-19,0.0,-4.3705430754317405,-6.363861088726241,38.214221784604895
1971-01-20,0.0,-1.6733726386392098,-4.75394066918008,38.227632016674
1971-01-21,0.0,-2.1222651220671396,-3.9531560206111003,43.8424525426616
1971-01-22,0.0,-4.3225782611503,-6.28481146217991,46.0948454881504
1971-01-23,0.0,-1.8800020752078999,-3.39906951585,32.1330328789586
1971-01-24,0.0,-2.35765736059984,-4.32249767442728,42.2021522133079
1971-01-25,0.0,-4.30711705977794,-6.463434810847519,61.9935754976409
1971-01-26,0.0,-4.04341273669489,-9.21218010964782,65.8049610918731
1971-01-27,0.156665012403876,-1.0417327911549799,-5.88726230727208,40.1410723284411
1971-01-28,0.0,1.31789089148327,-4.24936597349179,64.4136659853713
1971-01-29,0.0,1.11092046862195,-0.662451627468464,57.355139985722
1971-01-30,0.0,0.9908333534880258,-1.4949583667211899,61.495947914499
1971-01-31,0.0,0.306846446908314,-2.69571720613451,75.4524978939084
1971-02-01,0.0,0.649786538743128,-3.3258191757224704,70.1456941955743
1971-02-02,0.40147596587268003,3.97933046611738,-0.67332988223337,57.63912291275479
1971-02-03,1.89933228555451,7.54017010795309,4.1308795976667705,68.5693475714317
1971-02-04,13.9618338531112,9.267674257348268,6.387101739238089,38.2973207461498
1971-02-05,1.11418947428142,10.711414700033801,6.88850354987705,55.5296874840526
1971-02-06,0.0,3.6437050203884196,0.945660038538419,42.924853777063205
1971-02-07,0.196331113759795,1.37401428224129,-0.5955026860871321,44.6411093117144
1971-02-08,0.0,-0.6614639509334069,-1.93703051154957,49.4242575360378
1971-02-09,0.0,-0.0730183050675824,-3.72291999637505,97.9828237560409
1971-02-10,0.0,0.147119928274866,-4.814519482308951,90.5791789669282
1971-02-11,0.0,3.735084959285,1.7534930809848601,26.7198207953837
1971-02-12,2.78157459659863,4.15693481247558,0.6301635831986321,35.395542325442705
1971-02-13,1.57320375711344,0.610643268106641,-2.00184451194359,39.9756529950034
1971-02-14,0.0,-0.488010860191989,-2.35017243588058,68.5916894426802
1971-02-15,1.6124111798305902,4.21558772786066,3.27177869243401,45.734652476414794
1971-02-16,0.0,6.576945220583741,2.3824476411968503,102.056270430539
1971-02-17,0.252794128608073,5.54195198604388,2.13325218834894,61.253990182088
1971-02-18,7.19192190680899,3.1683694480833298,1.74344852111061,39.1882666315978
1971-02-19,0.0,-3.4605126851563703,-8.99025496233299,114.395094654818
1971-02-20,0.0,-2.6548606445817597,-7.481500041508349,130.771266266877
1971-02-21,3.7028100757745896,-0.8941890159882779,-3.99050149594248,29.732344255858003
1971-02-22,10.4494040127828,6.61769062403742,4.372301672169209,34.5029414120565
1971-02-23,0.0,2.34779415715783,0.5456833284083761,45.5572283249146
1971-02-24,5.71329529940435,5.52938803676746,2.97380862730657,38.4074538938407
1971-02-25,0.0,0.650751087098748,-4.05515515529452,135.76097962980302
1971-02-26,1.1954861561140901,2.4319094657644102,-1.72413059200876,91.21073346035429
1971-02-27,0.0,0.253231129035869,-3.2975332879681303,94.5233615289315
1971-02-28,32.1940367994461,3.24994465347892,2.63995183924163,38.4154089346155
1971-03-01,0.0,7.24179518518443,2.57345357774975,86.02653576569722
1971-03-02,5.81943213198921,5.30824155240276,2.36305942433502,85.29088217850709
1971-03-03,2.23322417191219,4.2221668499237,1.90639717737045,72.11000786596641
1971-03-04,0.0,6.84691630844479,1.67226714210626,119.698314814225
1971-03-05,2.64141649980737,8.422799803413861,3.10772596222247,68.676752505435
1971-03-06,0.0,8.56217246654425,5.087339266368169,79.68452651020759
1971-03-07,5.522253803095389,9.96643001807645,6.04153619891974,104.391504056504
1971-03-08,5.3883902419920595,5.30904255560938,3.5140223003196605,52.5552588911884
1971-03-09,0.0,2.76359508596579,-1.6677455149315101,140.87142374233298
1971-03-10,5.123268906860731,3.0609346384545697,-0.570687889694793,62.8024195599334
1971-03-11,9.012793065658,0.9014666954411841,-1.34325946242643,52.7808793433922
1971-03-12,0.0,0.7779419519209291,-2.4626922281710097,94.75319370678791
1971-03-13,13.5787475471816,2.70560293234895,0.614101668005672,51.7721379895418
