;[day of year];[day of year];[day of year];[day of year];[growing degree day];[growing degree day];[growing degree day];[growing degree day];[day of year];[growing degree day];[degC];[degC];[-];[-];[m];[m];[1/growing degree day];[1/growing degree day];[m/growing degree day];[-];[-];[-];[kg N / ha / year]
lu_id;DOY_start;DOY_mid;DOY_decay;DOY_end;GDD_start;GDD_mid;GDD_decay;GDD_end;cut_interval_day;GDD_cut_interval;ta_base;ta_ut;ground_cover_min;ground_cover_max;z_root_max;crop_height_max;ground_cover_decay_rate;ground_cover_growth_rate;root_growth_rate;water_stress_frac;basal_crop_coeff_mid;alpha_transp;nfix_rate
532;61;153;213;228;223;1031;2375;2500;-9999;-9999;0;30;0.001;0.85;0.6;0.4;0.002;0.013144706;-0.006989811;0.5;1.05;1;0
533;106;153;272;288;33;210;1215.05;1284;-9999;-9999;10;35;0.03;0.75;1.5;1.5;0.002;0.051358906;-0.046105492;0.45;0.7;1;0
534;106;153;272;288;583;675;2926;3102;-9999;-9999;0;30;0.03;0.2;1.2;1.5;0.002;0.00475362;-0.008935062;0.5;0.7;1;0
535;106;167;272;288;583;925;2926;3263;-9999;-9999;0;30;0.001;0.5;2.7;0.4;0.002;0.013555545;-0.004208418;0.5;1.05;1;0
536;146;207;264;279;1132;1170;2318.95;2441;-9999;-9999;0;30;8.00E-04;0.9;2;0.4;0.002;0.011944964;-0.003800234;0.5;1.1;1;0
537;92;206;272;288;145;1251;2123.25;2247;-9999;-9999;5;30;0.1;0.8;1;1.5;0.002;0.002635533;-0.004745205;0.45;1.15;1;0
538;136;197;213;228;976;1118;1667.25;1755;-9999;-9999;0;30;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1;0
539;122;202;244;259;77;612;1108.65;1131;-9999;-9999;10;30;0.00585;0.8;1.5;2;0.002;0.016870339;-0.009178298;0.5;1.2;1;0
540;75;192;230;245;6;578;1052.6;1108;-9999;-9999;10;30;0.006;0.8;1.2;2;0.002;0.017983424;-0.010796134;0.5;0.9;1;0
541;122;202;254;269;109;691;1256.85;1323;-9999;-9999;9;30;0.015;0.8;1.8;0.7;0.002;0.011369839;-0.007300764;0.5;1.15;1;0
542;75;191;187;202;312;1656;1783.15;1877;-9999;-9999;0;25;0.02;0.85;1.6;1;0.002;0.003983497;-0.002894925;0.5;1.15;1;0
543;75;162;213;228;312;1105;2292.35;2413;-9999;-9999;0;32;0.03;0.85;1.2;1;0.002;0.005397784;-0.005076501;0.55;1.15;1;0
544;75;162;199;214;312;1105;2021.6;2128;-9999;-9999;0;35;0.02;0.85;1.7;1;0.002;0.006189764;-0.004376434;0.5;1.15;1;0
545;92;131;228;243;450;464;2432.95;2561;-9999;-9999;0;25;0.01;0.9;1.3;0.6;0.002;0.021566593;-0.013815895;0.5;1.1;1;0
546;92;162;228;243;450;969;2438.65;2567;-9999;-9999;0;35;0.02;0.85;1.6;1;0.002;0.007173329;-0.005213071;0.5;1.15;1;0
547;92;183;249;264;73;729;1617.85;1703;-9999;-9999;7;32;0.0035;0.95;2;2;0.002;0.015887002;-0.006513894;0.45;1.1;1;0
548;106;214;274;288;583;1859;2946.9;3102;-9999;-9999;0;30;0.1;0.9;1.1;2;0.002;0.001840467;-0.002987789;0.7;1.05;1;0
549;122;214;230;245;77;741;988;1040;-9999;-9999;10;30;0.01;0.85;1.6;1.5;0.002;0.011922508;-0.007094312;0.55;1.2;1;0
550;111;214;291;288;635;1809;3052.35;3213;-9999;-9999;0;30;0.4;0.5;1.8;1;0.002;0.000138665;-0.002496175;0.45;1.1;1;0
551;106;245;274;288;583;2468;2946.9;3102;-9999;-9999;0;30;0.1;0.95;2.8;4;0.002;0.001406361;-0.001423495;0.5;1.2;1;0
552;106;228;230;245;583;2144;2344.6;2468;-9999;-9999;0;30;0.006;0.85;1.2;0.4;0.002;0.00419617;-0.002483591;0.5;1.15;1;0
553;131;183;213;228;905;916;1736.6;1828;-9999;-9999;0;30;0.001;0.75;1.3;0.4;0.002;0.014714487;-0.006070419;0.5;0.8;1;0
554;61;197;335;350;223;1863;3653.7;3846;-9999;-9999;0;30;0.001;0.95;1.7;1;0.002;0.007034185;-0.002484665;0.5;1.1;1;0
555;92;192;272;228;450;1541;2866.15;2277;35;570;0;30;0.03;0.85;0.7;0.6;0.002;0.003754002;-0.004283989;0.5;1.1;1;0
556;289;146;192;207;3670;1585;2766.4;2736;-9999;-9999;0;25;0.02;0.9;1.6;1;0.005;0.004251542;-0.003034657;0.55;1.15;1;0
557;289;146;192;207;3670;1585;2602.05;2736;-9999;-9999;0;25;0.03;0.83;1.8;1;0.005;0.003610309;-0.00287495;0.55;1.15;1;0
558;289;146;192;207;3141;1208;2128;2240;-9999;-9999;2;30;0.02;0.85;1.7;1;0.005;0.005609917;-0.003966457;0.55;1.15;1;0
559;233;142;182;197;2816;2387;2402.55;3400;-9999;-9999;0;27;0.01;0.9;1.3;0.6;0.005;0.003353355;-0.002148211;0.6;1.1;1;0
560;275;150;197;228;3503;1827;2868.05;3346;-9999;-9999;0;30;0.01;0.85;1.6;0.6;0.005;0.004382305;-0.002607626;0.5;1.1;1;0
561;136;214;244;259;976;1470;2194.5;2310;-9999;-9999;0;30;0.001;0.7;1.5;0.3;0.002;0.008616545;-0.003386091;0.5;1;1;0
562;111;202;228;243;41;647;1007.95;1061;-9999;-9999;10;30;0.00585;0.85;1.5;2;0.002;0.015978343;-0.008571098;0.5;1.2;1;0
563;92;197;260;275;248;1322;2385.45;2511;-9999;-9999;3;30;8.00E-04;0.95;1.4;0.5;0.002;0.010539573;-0.003913299;0.5;1.2;1;0
564;289;1;55;80;3670;271;692.55;1056;-9999;-9999;0;30;0.03;0.8;1.1;1.2;0.005;0.003468132;-0.0034492;0.5;1;1;0
565;92;153;272;288;450;808;3107.45;3286;35;570;0;30;0.02;0.93;1.1;1;0.002;0.010417861;-0.00859304;0.5;1.05;1;0
566;289;350;55;126;3670;3780;692.55;1663;-9999;-9999;0;30;0.02;0.93;1.1;1;0.005;0.010417861;-0.00859304;0.5;1.05;1;0
567;92;153;272;288;193;561;2307.55;2474;35;570;4;30;0.03;0.93;1;0.6;0.002;0.012577267;-0.012284502;0.5;1;1;0
568;289;325;55;80;3670;289;1883.85;1056;-9999;-9999;0;30;0.003;0.9;1.2;1.2;0.005;0.015835721;-0.00797707;0.5;1.1;1;0
569;233;305;55;70;2817;4710;1516.2;1596;-9999;-9999;0;30;0.03;0.9;1.1;1.2;0.005;0.001194377;-0.001138555;0.5;1;1;0
570;264;305;55;70;3346;4606;1008.9;1062;-9999;-9999;0;30;0.03;0.9;0.8;0.8;0.005;0.001222044;-0.001306916;0.5;1;1;0
571;92;153;365;288;450;808;3107.45;3286;35;570;0;30;0.02;0.93;1.1;1;0.002;0.010417861;-0.00859304;0.5;1.05;1;0
572;289;350;125;126;3670;3780;692.55;1663;-9999;-9999;0;30;0.02;0.93;1.1;1;0.005;0.010417861;-0.00859304;0.5;1.05;1;0
573;127;153;272;288;450;808;3107.45;3286;35;570;0;30;0.02;0.93;1.1;1;0.002;0.010417861;-0.00859304;0.5;1.05;1;0
574;289;350;55;121;3670;3780;692.55;1663;-9999;-9999;0;30;0.02;0.93;1.1;1;0.005;0.010417861;-0.00859304;0.5;1.05;1;0
575;92;172;230;245;378;1070;2324.65;2447;-9999;-9999;1;30;0.01;0.9;1.1;0.4;0.002;0.007953995;-0.005443501;0.45;1.05;1;0
576;289;138;182;212;378;1070;2324.65;2447;-9999;-9999;1;30;0.01;0.9;1.1;0.4;0.002;0.007953995;-0.005443501;0.45;1.05;1;0
577;92;146;230;245;450;691;2470.95;2601;-9999;-9999;0;30;0.015;0.8;1.1;0.5;0.002;0.011357976;-0.008987135;0.475;1.15;1;0
578;289;166;181;198;450;691;2470.95;2601;-9999;-9999;0;30;0.015;0.8;1.1;0.5;0.002;0.011357976;-0.008987135;0.475;1.15;1;0
579;289;146;192;207;3670;1585;2602.05;2736;-9999;-9999;0;25;0.03;0.83;1.8;1;0.005;0.003610309;-0.00287495;0.55;1.15;1;0
580;92;153;272;288;193;561;2307.55;2474;35;570;4;30;0.03;0.93;1.1;1;0.002;0.012577267;-0.012284502;0.5;1;1;0
581;289;350;55;121;450;808;3107.45;3286;35;570;4;30;0.02;0.93;1.1;1;0.002;0.012577267;-0.012284502;0.5;1;1;0
582;92;153;272;288;193;561;2307.55;2474;35;570;4;30;0.03;0.93;1.1;1;0.002;0.012577267;-0.012284502;0.5;1;1;0
583;289;350;55;121;450;808;3107.45;3286;35;570;4;30;0.02;0.93;1.1;1;0.002;0.012577267;-0.012284502;0.5;1;1;0
584;122;153;272;288;450;808;3107.45;3286;35;570;4;30;0.02;0.93;1.1;1;0.002;0.012577267;-0.012284502;0.5;1;1;0
585;289;350;55;121;450;808;3107.45;3286;35;570;4;30;0.02;0.93;1.1;1;0.002;0.012577267;-0.012284502;0.5;1;1;0
586;248;309;325;32;976;1118;1667.25;1755;-9999;-9999;0;30;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1;0
587;266;325;340;32;976;1118;1667.25;1755;-9999;-9999;0;30;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1;0
599;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0;0;0.15;0;-9999;-9999;-9999;0.75;0.15;1;0
