;[mm];[mm];[day of year];[day of year];[day of year];[day of year]
lu_id;min_depth;max_depth;T1;T2;T3;T4
0;200;200;0;0;0;0
5;800;800;0;0;0;0
6;2000;2000;0;0;0;0
7;1500;1500;0;0;0;0
8;400;400;0;0;0;0
9;1000;1000;0;0;0;0
10;1500;1500;0;0;0;0
11;1500;1500;0;0;0;0
12;1200;1200;0;0;0;0
13;200;200;0;0;0;0
14;0;0;0;0;0;0
15;1000;1000;0;0;0;0
20;0;0;0;0;0;0
98;0;0;0;0;0;0
31;200;200;0;0;0;0
32;300;300;0;0;0;0
33;400;400;0;0;0;0
40;200;200;0;0;0;0
41;200;200;0;0;0;0
50;400;400;0;0;0;0
1001;200;500;100;170;270;300
1002;0;500;100;170;270;300
1003;200;1000;100;170;270;300
1004;300;1000;100;170;270;300
1005;400;1000;100;170;270;300
