YYYY	MM	DD	hh	mm	PREC
2020	9	17	0	0	0.0
2020	9	18	0	0	0.0
2020	9	19	0	0	0.0
2020	9	20	0	0	0.0
2020	9	21	0	0	0.0
2020	9	22	0	0	0.24
2020	9	23	0	0	0.0
2020	9	24	0	0	9.43
2020	9	25	0	0	9.02
2020	9	26	0	0	9.91
2020	9	27	0	0	4.55
2020	9	28	0	0	1.59
2020	9	29	0	0	5.16
2020	9	30	0	0	0.0
2020	10	1	0	0	1.8
2020	10	2	0	0	0.0
2020	10	3	0	0	8.31
2020	10	4	0	0	4.54
2020	10	5	0	0	1.04
2020	10	6	0	0	13.83
2020	10	7	0	0	5.68
2020	10	8	0	0	0.0
2020	10	9	0	0	1.55
2020	10	10	0	0	12.26
2020	10	11	0	0	3.92
2020	10	12	0	0	1.44
2020	10	13	0	0	0.0
2020	10	14	0	0	0.0
2020	10	15	0	0	1.81
2020	10	16	0	0	0.05
2020	10	17	0	0	0.22
2020	10	18	0	0	0.0
2020	10	19	0	0	0.0
2020	10	20	0	0	0.0
2020	10	21	0	0	0.0
2020	10	22	0	0	5.07
2020	10	23	0	0	11.66
2020	10	24	0	0	0.05
2020	10	25	0	0	0.22
2020	10	26	0	0	18.19
2020	10	27	0	0	0.0
2020	10	28	0	0	1.07
2020	10	29	0	0	3.57
2020	10	30	0	0	0.0
2020	10	31	0	0	0.0
2020	11	1	0	0	11.44
2020	11	2	0	0	0.19
2020	11	3	0	0	7.99
2020	11	4	0	0	0.41
2020	11	5	0	0	0.0
2020	11	6	0	0	0.0
2020	11	7	0	0	0.0
2020	11	8	0	0	0.0
2020	11	9	0	0	0.0
2020	11	10	0	0	0.0
2020	11	11	0	0	0.0
2020	11	12	0	0	0.0
2020	11	13	0	0	0.0
2020	11	14	0	0	0.0
2020	11	15	0	0	3.12
2020	11	16	0	0	1.79
2020	11	17	0	0	0.0
2020	11	18	0	0	0.0
2020	11	19	0	0	3.9
2020	11	20	0	0	1.63
2020	11	21	0	0	0.0
2020	11	22	0	0	0.0
2020	11	23	0	0	0.0
2020	11	24	0	0	0.0
2020	11	25	0	0	0.0
2020	11	26	0	0	0.0
2020	11	27	0	0	0.0
2020	11	28	0	0	0.0
2020	11	29	0	0	0.0
2020	11	30	0	0	0.07
2020	12	1	0	0	11.88
2020	12	2	0	0	0.0
2020	12	3	0	0	0.0
2020	12	4	0	0	4.83
2020	12	5	0	0	5.31
2020	12	6	0	0	5.38
2020	12	7	0	0	0.09
2020	12	8	0	0	0.0
2020	12	9	0	0	2.19
2020	12	10	0	0	0.0
2020	12	11	0	0	1.14
2020	12	12	0	0	8.78
2020	12	13	0	0	4.32
2020	12	14	0	0	0.0
2020	12	15	0	0	7.5
2020	12	16	0	0	0.47
2020	12	17	0	0	0.0
2020	12	18	0	0	0.0
2020	12	19	0	0	0.0
2020	12	20	0	0	0.77
2020	12	21	0	0	4.94
2020	12	22	0	0	0.0
2020	12	23	0	0	1.95
2020	12	24	0	0	8.66
2020	12	25	0	0	1.45
2020	12	26	0	0	0.0
2020	12	27	0	0	3.21
2020	12	28	0	0	15.75
2020	12	29	0	0	1.37
2020	12	30	0	0	0.0
2020	12	31	0	0	0.0
